Code,Name,Old Location,New Location,Coming Stock,Stock
,,,,0.0,0.0
HEAT_PRESS_TR4401,,,Z-08-01,,
,,,,0.0,0.0
,,,,0.0,22.0
,,,,0.0,19.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,0.0,6.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,300.0,-76.0
,,,,0.0,0.0
,,,,16.0,0.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,12.0,0.0
,,,,20.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,1.0
,,,,0.0,18.0
,,,,0.0,12.0
ROUND_GOLD_WHITE_TR1193,P-01-03_KK123_AW1-Coffee Table White 40cm 0.03 15_Peter_29,P-01-03,O-05-04,10.0,0.0
PR3245,,,Y-08-01,,
,,,,0.0,3.0
,,,,10.0,0.0
,,,,15.0,0.0
,,,,0.0,7.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,20.0
,,,,0.0,2.0
,,,,0.0,4.0
,,,,0.0,6.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,33.0
,,,,12.0,0.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,13.0
,,,,0.0,16.0
,,,,0.0,5.0
,,,,0.0,5.0
,,,,0.0,4.0
,,,,0.0,10.0
,,,,0.0,0.0
,,,,0.0,6.0
,,,,0.0,22.0
,,,,0.0,9.0
,,,,0.0,9.0
,,,,0.0,15.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,0.0
,,,,20.0,21.0
,,,,0.0,39.0
,,,,0.0,6.0
,,,,30.0,-6.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,9.0
WHD914B_Camera__TR4450,,,C-03-03,,
PRCB030,L-06-03_CB030 3M Face Mask 6800_A2_CAS_,L-06-03,L-06-03,10,0
PR1108,H-07-02_1108 Fetal Doppler,H-07-02,H-07-05,15,0
PR3510,O-06-01_3510 Yoga stool Black _DP_CAS_,O-06-01,O-01-01N-01-03,10,4
,,,,0.0,2.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,10.0,0.0
,,,,0.0,6.0
,,,,0.0,7.0
,,,,0.0,3.0
,,,,0.0,4.0
,,,,12.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,20.0,0.0
,,,,20.0,6.0
,,,,15.0,10.0
,,,,10.0,0.0
,,,,18.0,0.0
,,,,10.0,0.0
,,,,20.0,0.0
,,,,10.0,1.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,10.0
,,,,0.0,7.0
,,,,0.0,12.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
IPH5_USB_CBL_3M_COL1,G-04-02_[3M COL IPHONE 5 USB CABLE][CABLE][1],G-04-02,G-04-02,100,0
,,,,0.0,0.0
PR2389,,,Y-04-01,,
,,,,0.0,4.0
,,,,0.0,0.0
,,,,0.0,6.0
,,,,0.0,3.0
,,,,0.0,4.0
,,,,0.0,2.0
,,,,10.0,0.0
,,,,0.0,18.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,10.0
,,,,0.0,5.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,0.0,39.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,9.0
,,,,0.0,1.0
,,,,0.0,10.0
,,,,0.0,4.0
,,,,0.0,8.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,16.0
,,,,0.0,10.0
